Ano;LPA;P_L;VPA;P_VP;P_EBIT;P_EBITDA;P_Ativos;Ebitda;Marg_Ebitda;PSR;ROE;ROA;ROIC;EV_EBIT;EV_EBITDA;Div_Yield;Div_Payout;Beta;Valorizacao;Negocios_dia;Volume_diario;Ticker
2016;7.08;5.72;20.34;1.99;3.27;2.63;0.6;1965.0;0.35;0.91;0.35;0.1;0.3;14.07;11.29;0.265;1.52;0.13;0.5;13;1;CGAS3
2017;4.93;11.16;15.51;3.55;6.26;4.71;0.83;1518.0;0.27;1.29;0.32;0.07;0.21;19.86;14.95;0.17489999999999997;1.75;0.28;0.61;20;0;CGAS3
2018;10.15;6.1;20.61;3.0;4.43;3.74;0.98;2186.0;0.32;1.19;0.49;0.16;0.27;12.62;10.64;0.0705;0.56;0.16;0.15;15;0;CGAS3
2019;10.33;13.83;3.92;36.48;8.71;7.54;2.24;2513.0;0.26;1.99;2.64;0.16;0.35;11.21;9.7;0.1039;1.47;0.14;1.5;9;0;CGAS3
2020;8.69;20.04;4.45;39.1;11.52;9.67;2.17;2386.0;0.29;2.77;1.95;0.11;0.25;12.81;10.75;0.0482;0.99;0.18;0.27;3;0;CGAS3
2021;9.6;16.67;7.09;22.58;11.2;9.32;2.13;2274.0;0.27;2.55;1.35;0.13;0.25;13.38;11.14;0.053099999999999994;0.9;0.15;-0.02;2;0;CGAS3
2009;1.38;16.13;7.26;3.08;13.06;11.41;1.43;168.0;0.08;0.88;0.19;0.09;0.15;12.59;10.99;0.0;0.14;0.54;2.09;564;6;POSI3
2010;1.05;9.33;7.97;1.22;7.24;6.14;0.52;137.0;0.06;0.36;0.13;0.06;0.09;18.08;15.35;0.059500000000000004;0.56;0.83;-0.56;589;5;POSI3
2011;-0.78;-7.43;7.19;0.8;-9.57;-22.38;0.32;-22.0;-0.01;0.24;-0.11;-0.04;-0.05;-39.02;-91.25;0.045;-0.33;0.9;-0.4;1125;3;POSI3
2012;0.36;14.0;7.43;0.68;6.89;4.39;0.24;99.0;0.05;0.2;0.05;0.02;0.05;34.03;21.7;0.0;0.0;0.43;-0.12;640;1;POSI3
2013;0.19;15.45;7.49;0.38;3.29;1.98;0.13;125.0;0.05;0.1;0.02;0.01;0.06;28.95;17.4;0.031400000000000004;0.44;0.66;-0.43;515;1;POSI3
2014;0.28;7.6;7.74;0.28;2.1;1.33;0.1;137.0;0.06;0.08;0.04;0.01;0.07;23.86;15.11;0.023399999999999997;0.12;0.38;-0.2;378;0;POSI3
